Touxing
    62.439  -153.038
    78.355  -139.570
   112.636   -52.645
   115.084   -36.688
   111.411   -26.935
   102.841   -14.202
    94.271     0.000
    89.570    10.039
    84.844    22.037
    75.417    46.034
    65.990    63.664
    56.563    75.907
    47.136    85.701
    37.708    94.026
    28.159   100.637
    18.854   104.531
     9.427   107.371
     4.726   108.448
     0.000   108.987
    -4.726   108.448
    -9.427   107.371
   -18.854   104.531
   -28.159   100.637
   -37.708    94.026
   -47.136    85.701
   -56.563    75.907
   -65.990    63.664
   -75.417    46.034
   -84.844    22.037
   -89.570    10.039
   -94.271     0.000
  -102.841   -14.202
  -111.411   -26.935
  -115.084   -36.688
  -112.636   -52.645
   -78.355  -139.570
   -62.439  -153.038
