Touxing1
    55.500  -135.000
    70.500  -124.000
    78.500  -111.000
    88.500   -92.000
    92.500   -77.000
    97.500   -61.000
   100.500   -47.000
   103.000   -34.500
    99.000   -25.000
    92.500   -12.500
    85.500     0.000
    76.500    20.000
    65.000    48.000
     0.000    96.000
   -65.000    48.000
   -76.500    20.000
   -85.500     0.000
   -92.500   -12.500
   -99.000   -25.000
  -103.000   -34.500
  -100.500   -47.000
   -97.500   -61.000
   -92.500   -77.000
   -88.500   -92.000
   -78.500  -111.000
   -70.500  -124.000
   -55.500  -135.000
