p113,  2418.796209,  -153.941677,  -1327.588323
p114,  2428.713041,  -152.482384,  -1328.131960
p115,  2438.660436,  -151.184783,  -1328.549714
p116,  2448.690562,  -150.749600,  -1328.634074
p117,  2458.612547,  -149.448026,  -1328.881247
p118,  2468.622853,  -148.844060,  -1328.871774
p119,  2478.618982,  -148.509778,  -1328.598203
p120,  2488.613893,  -147.774161,  -1328.262103
p121,  2498.619333,  -146.779173,  -1327.804144
p122,  2508.563046,  -145.902741,  -1327.106686
p123,  2518.479475,  -144.646414,  -1326.549648
p124,  2528.386607,  -143.216538,  -1326.035976
p125,  2538.370812,  -142.467547,  -1325.191911
p126,  2548.354868,  -141.834891,  -1324.388802
p127,  2558.344873,  -140.851926,  -1323.644248
p128,  2568.321849,  -139.809529,  -1322.746310
p129,  2578.295815,  -139.352650,  -1321.554747
p130,  2588.210515,  -138.236867,  -1320.441232
p131,  2598.086923,  -137.029351,  -1319.264713
p132,  2607.970980,  -136.109075,  -1317.865289
p133,  2617.773191,  -134.584021,  -1316.567840
p134,  2627.529985,  -132.832255,  -1315.213465
p135,  2637.295661,  -131.251983,  -1313.702537
p136,  2647.019161,  -129.363649,  -1312.237628
p137,  2656.859122,  -129.157716,  -1310.173426
p138,  2666.640905,  -128.014122,  -1308.353082
p139,  2676.379542,  -126.372713,  -1306.468694
p140,  2686.105028,  -125.346130,  -1304.255772
p141,  2695.821291,  -123.993842,  -1302.062117
p142,  2241.578486,  -141.942384,  -1317.353254
p143,  2251.418166,  -141.244950,  -1319.216635
p144,  2261.224771,  -140.176768,  -1321.021911
p145,  2271.082879,  -139.108606,  -1322.729823
p146,  2280.951285,  -138.046158,  -1324.260709
p147,  2290.875193,  -137.163321,  -1325.724537
p148,  2300.682745,  -135.806960,  -1327.216125
p149,  2310.390457,  -133.817181,  -1328.578844
p150,  2320.308588,  -133.106357,  -1329.734217
p151,  2330.235481,  -132.107091,  -1330.764723
p152,  2340.161081,  -130.906582,  -1331.706118
p153,  2350.106638,  -130.075211,  -1332.417230
p154,  2360.093549,  -129.298477,  -1333.049558
p155,  2370.089893,  -128.444305,  -1333.717753
p156,  2380.013347,  -127.024833,  -1334.403834
p157,  2389.953131,  -125.785613,  -1335.113087
p158,  2399.960312,  -125.728893,  -1335.429839
p159,  2409.958694,  -125.174276,  -1335.867313
p160,  2419.913317,  -123.838143,  -1336.402833
p161,  2429.846877,  -122.579924,  -1336.889387
p162,  2439.832812,  -121.559898,  -1337.239139
p163,  2449.843651,  -120.665868,  -1337.416079
p164,  2459.823824,  -119.550687,  -1337.581102
p165,  2469.804137,  -118.842755,  -1337.557338
p166,  2479.826392,  -118.500271,  -1337.202767
p167,  2489.816207,  -117.619884,  -1336.792169
p168,  2499.773617,  -116.699351,  -1336.174056
p169,  2509.708521,  -115.746492,  -1335.501105
p170,  2519.686085,  -114.293903,  -1334.889485
p171,  2529.689772,  -113.289303,  -1334.109612
p172,  2539.646403,  -112.410316,  -1333.202378
p173,  2549.643909,  -111.797422,  -1332.351000
p174,  2559.573627,  -110.826829,  -1331.458552
p175,  2569.546646,  -110.086708,  -1330.384280
p176,  2579.504098,  -109.399220,  -1329.219180
p177,  2589.451644,  -108.442549,  -1328.059591
p178,  2599.352120,  -107.287096,  -1326.772494
p179,  2609.240299,  -106.074293,  -1325.470776
p180,  2619.008415,  -104.456393,  -1324.033805
p181,  2628.786567,  -102.885110,  -1322.620168
p182,  2638.644461,  -101.665538,  -1321.122092
p183,  2648.462635,  -100.367701,  -1319.427777
p184,  2658.288758,  -99.533202,   -1317.482328
p185,  2668.000071,  -98.057397,   -1315.567078
p186,  2677.716740,  -96.540549,   -1313.555828
p187,  2687.483327,  -95.391666,   -1311.439243
p188,  2697.131490,  -93.793710,   -1309.348498
p189,  2238.793407,  -115.013042,  -1323.226991
p190,  2248.663631,  -114.124565,  -1324.910493
p191,  2258.432630,  -112.743717,  -1326.721647
p192,  2268.192844,  -111.391119,  -1328.497161
p193,  2278.020080,  -110.179703,  -1330.091205
p194,  2287.902272,  -109.160833,  -1331.682812
p195,  2297.762564,  -107.757318,  -1333.200315
p196,  2307.480723,  -105.657727,  -1334.696495
p197,  2317.376727,  -104.435384,  -1335.847312
p198,  2327.235903,  -103.035022,  -1337.064047
p199,  2337.094948,  -101.768210,  -1338.163564
p200,  2347.049835,  -100.719963,  -1339.107008
p201,  2356.998897,  -99.674049,  -1339.959114
p202,  2366.973042,  -98.874217,  -1340.745486
p203,  2376.829405,  -97.320341,  -1341.544966
p204,  2386.747625,  -95.989910,  -1342.336522
p205,  2396.796407,  -95.950366,  -1342.827399
p206,  2406.766755,  -95.297598,  -1343.375349
p207,  2416.668446,  -93.871603,  -1343.964320
p208,  2426.604647,  -92.408028,  -1344.485442
p209,  2436.516529,  -91.125533,  -1344.895262
p210,  2446.515058,  -90.182842,  -1345.190993
p211,  2456.449691,  -88.918498,  -1345.427089
p212,  2466.450363,  -88.015684,  -1345.403747
p213,  2476.458768,  -87.443966,  -1344.998437
p214,  2486.460328,  -86.411194,  -1344.438627
p215,  2496.415153,  -85.522637,  -1343.806168
p216,  2506.339474,  -84.443296,  -1343.031776
p217,  2516.208440,  -82.793206,  -1342.269705
p218,  2526.141160,  -81.613410,  -1341.353773
p219,  2536.071456,  -80.523337,  -1340.318555
p220,  2546.012456,  -79.706822,  -1339.377217
p221,  2555.948173,  -78.599535,  -1338.415027
p222,  2565.882234,  -77.793038,  -1337.252429
p223,  2575.780266,  -76.904041,  -1336.063886
p224,  2585.672360,  -75.697377,  -1334.893536
p225,  2595.562805,  -74.684808,  -1333.645044
p226,  2605.435044,  -73.553716,  -1332.386086
p227,  2615.314248,  -72.373490,  -1331.237754
p228,  2625.173537,  -71.115488,  -1329.971550
p229,  2634.988535,  -69.698618,  -1328.525673
p230,  2644.776329,  -68.297194,  -1326.891824
p231,  2654.581795,  -67.394990,  -1325.019793
p232,  2664.312755,  -65.860733,  -1323.105668
p233,  2674.006122,  -64.101405,  -1321.142347
p234,  2683.740268,  -62.995492,  -1318.985156
p235,  2693.396619,  -61.329840,  -1316.884861
p236,  2232.758365,  -86.194946,  -1326.085690
p237,  2242.603443,  -85.605538,  -1327.844793
p238,  2252.379385,  -83.945456,  -1329.580683
p239,  2262.137394,  -82.443771,  -1331.304749
p240,  2271.936797,  -81.028190,  -1333.038665
p241,  2281.774168,  -79.998211,  -1334.755907
p242,  2291.645271,  -78.912336,  -1336.418553
p243,  2301.352156,  -77.034883,  -1338.025947
p244,  2311.181340,  -75.685952,  -1339.451999
p245,  2320.967898,  -74.152949,  -1340.852006
p246,  2330.843120,  -72.752269,  -1342.043505
p247,  2340.718715,  -71.542622,  -1343.165343
p248,  2350.724155,  -71.042597,  -1344.113735
p249,  2360.637143,  -69.875842,  -1345.107904
p250,  2370.645725,  -69.409247,  -1345.950122
p251,  2380.376816,  -67.306449,  -1346.935350
p252,  2390.381805,  -67.142976,  -1347.593183
p253,  2400.408987,  -66.631018,  -1348.238314
p254,  2410.397777,  -65.614980,  -1348.870377
p255,  2420.281502,  -64.022065,  -1349.474578
p256,  2430.198420,  -62.441789,  -1350.023256
p257,  2440.243273,  -62.148838,  -1350.329485
p258,  2450.209400,  -60.868991,  -1350.662933
p259,  2460.224978,  -60.295335,  -1350.734169
p260,  2470.232905,  -59.795667,  -1350.513789
p261,  2480.177195,  -58.766954,  -1350.027692
p262,  2490.136170,  -57.494883,  -1349.407062
p263,  2500.076916,  -56.599278,  -1348.560961
p264,  2509.925691,  -55.042428,  -1347.680088
p265,  2519.789628,  -53.328163,  -1346.790414
p266,  2529.688333,  -52.324685,  -1345.699215
p267,  2539.607373,  -51.375291,  -1344.637206
p268,  2549.510044,  -50.331073,  -1343.697333
p269,  2559.393324,  -49.252162,  -1342.600658
p270,  2569.383634,  -48.723906,  -1341.362400
p271,  2579.316353,  -47.787691,  -1340.169470
p272,  2589.213812,  -46.575567,  -1338.970275
p273,  2599.135668,  -45.892656,  -1337.729658
p274,  2608.991853,  -44.583695,  -1336.496882
p275,  2618.880650,  -43.219772,  -1335.351031
p276,  2628.773231,  -42.044506,  -1333.965057
p277,  2638.591781,  -40.644206,  -1332.587172
p278,  2648.440411,  -40.284332,  -1330.821701
p279,  2658.227523,  -39.016529,  -1328.908432
p280,  2667.868714,  -37.179949,  -1326.946801
p281,  2677.604537,  -36.032851,  -1324.805383
p282,  2687.289781,  -34.569250,  -1322.653155
p283,  2235.557405,  -55.834715,  -1329.423514
p284,  2245.344733,  -54.385225,  -1331.182997
