Test 2013-5-14
51*101 Surface data points
Write Surface data .DAT file.
   51  51
   849.755   304.826   392.508
   857.680   297.740   392.508
   865.032   290.165   392.508
   871.773   282.102   392.508
   877.863   273.549   392.508
   883.266   264.508   392.508
   887.942   254.979   392.508
   891.854   244.960   392.508
   894.963   234.453   392.508
   897.231   223.458   392.508
   898.620   211.973   392.508
   899.091   200.000   392.508
   501.400   200.000   386.030
   501.870   211.741   386.030
   503.256   223.003   386.030
   505.518   233.786   386.030
   508.620   244.089   386.030
   512.522   253.914   386.030
   517.186   263.259   386.030
   522.576   272.124   386.030
   528.651   280.511   386.030
   535.375   288.418   386.030
   542.709   295.846   386.030
   550.615   302.795   386.030
   559.054   309.265   386.030
   567.990   315.255   386.030
   577.383   320.766   386.030
   587.195   325.798   386.030
   597.389   330.351   386.030
   607.926   334.425   386.030
   618.768   338.019   386.030
   629.877   341.134   386.030
   641.214   343.770   386.030
   652.743   345.926   386.030
   664.424   347.603   386.030
   676.219   348.802   386.030
   688.090   349.520   386.030
   700.000   349.760   386.030
   711.910   349.520   386.030
   723.781   348.802   386.030
   735.576   347.603   386.030
   747.257   345.926   386.030
   758.786   343.770   386.030
   770.123   341.134   386.030
   781.232   338.019   386.030
   792.074   334.425   386.030
   802.611   330.351   386.030
   812.805   325.798   386.030
   822.617   320.766   386.030
   832.010   315.255   386.030
   840.946   309.265   386.030
   849.385   302.795   386.030
   857.291   295.846   386.030
   864.625   288.418   386.030
   871.349   280.511   386.030
   877.424   272.124   386.030
   882.814   263.259   386.030
   887.478   253.914   386.030
   891.380   244.089   386.030
   894.482   233.786   386.030
   896.744   223.003   386.030
   898.130   211.741   386.030
   898.600   200.000   386.030
   501.987   200.000   379.703
   502.456   211.513   379.703
   503.837   222.556   379.703
   506.093   233.130   379.703
   509.185   243.233   379.703
   513.076   252.867   379.703
   517.727   262.030   379.703
   523.100   270.724   379.703
   529.158   278.947   379.703
   535.862   286.701   379.703
   543.174   293.985   379.703
   551.056   300.799   379.703
   559.471   307.143   379.703
   568.380   313.017   379.703
   577.745   318.421   379.703
   587.529   323.355   379.703
   597.692   327.820   379.703
   608.198   331.814   379.703
   619.008   335.339   379.703
   630.084   338.393   379.703
   641.388   340.978   379.703
   652.882   343.092   379.703
   664.529   344.737   379.703
   676.289   345.912   379.703
   688.126   346.617   379.703
   700.000   346.852   379.703
   711.874   346.617   379.703
   723.711   345.912   379.703
